Variable1::String,Variable2::String,Variable3::String,Variable4::String,Variable5::String,Variable6::String,Variable7::String,Variable8::String
jaspreetsinghc@hcl.com,Pbws123,2,MasterCard,1111 2222 4444 6666,02,2020,jschawla
jsc@hcl.com,Pbws123456,5,American Express,1111 3333 5555 7777,11,2021,jssmith
Clojure,03/03/2023,Faster,Mr.,Some other file with a very long option text,1,,
AppleScript,08/01/2024,Fast,Mrs.,Some unknown file,2,,
Java,12/12/2025,Medium,Dr.,jQuery.js,5,,
,,,,,,,
,,'2','MasterCard',1111 2222 4444 6666,,,
,,5,'American Express*',"""1111-3333-5555-7777""",,,
Clojure,03/03/2023,Faster,Mr.,Some other file with a very long option text,1,r2c7,r2c8
AppleScript,08/01/2024,Fast,Mrs.,Some unknown file,2,r3c7,r3c8
Java,12/12/2025,Medium,Dr.,jQuery.js,5,r4c7,r4c8
